title,text,rating,date,user,userLocation,text_len,text_clean,tokens,token_count,tokens_lemma,text_processed,sentimiento
World Heritage Site,"A world heritage site, the Historic Center of Quito preserves the colonial characteristics of the ""master plan"" of 1700: elongated and low houses, with patios, which extend onto the streets which, although on uneven terrain, reproduce whenever possible, a chessboard. And then the squares, with the central Plaza Major, and the churches and convents often examples of the Baroque school of Quito (Escuela Quitena), which brings together indigenous and European artistic traditions and which is renowned for having provided America's greatest contribution Spanish to universal art.I must admit that such beauty, however, did not move me deeply as it happened in other historic centers.",4,2024-05-19,galadiel67,"Chiavari, Italy",684,a world heritage site the historic center of quito preserves the colonial characteristics of the master plan of elongated and low houses with patios which extend onto the streets which although on uneven terrain reproduce whenever possible a chessboard and then the squares with the central plaza major and the churches and convents often examples of the baroque school of quito escuela quitena which brings together indigenous and european artistic traditions and which is renowned for having provided america s greatest contribution spanish to universal art i must admit that such beauty however did not move me deeply as it happened in other historic centers,"['world', 'heritage', 'site', 'historic', 'center', 'preserves', 'colonial', 'characteristics', 'master', 'plan', 'elongated', 'low', 'houses', 'patios', 'extend', 'onto', 'streets', 'although', 'uneven', 'terrain', 'reproduce', 'whenever', 'possible', 'chessboard', 'squares', 'central', 'plaza', 'major', 'churches', 'convents', 'often', 'examples', 'baroque', 'school', 'escuela', 'quitena', 'brings', 'together', 'indigenous', 'european', 'artistic', 'traditions', 'renowned', 'provided', 'america', 'greatest', 'contribution', 'spanish', 'universal', 'art', 'must', 'admit', 'beauty', 'however', 'move', 'deeply', 'happened', 'historic', 'centers']",59,"['world', 'heritage', 'site', 'historic', 'center', 'preserve', 'colonial', 'characteristic', 'master', 'plan', 'elongated', 'low', 'house', 'patio', 'extend', 'onto', 'street', 'although', 'uneven', 'terrain', 'reproduce', 'whenever', 'possible', 'chessboard', 'square', 'central', 'plaza', 'major', 'church', 'convent', 'often', 'example', 'baroque', 'school', 'escuela', 'quitena', 'brings', 'together', 'indigenous', 'european', 'artistic', 'tradition', 'renowned', 'provided', 'america', 'greatest', 'contribution', 'spanish', 'universal', 'art', 'must', 'admit', 'beauty', 'however', 'move', 'deeply', 'happened', 'historic', 'center']",world heritage site historic center preserve colonial characteristic master plan elongated low house patio extend onto street although uneven terrain reproduce whenever possible chessboard square central plaza major church convent often example baroque school escuela quitena brings together indigenous european artistic tradition renowned provided america greatest contribution spanish universal art must admit beauty however move deeply happened historic center,Positivo
Beautiful historic center very well preserved and rich in history and art and excellent restaurants,"Dedicate some time to this visit, better with an expert guide, so as not to miss the details of this beautiful historic center. Founded on Inca ruins, among colonial buildings and well-maintained squares, we were amazed at how clean and well-kept it was, the small balconies full of pots of geraniums were beautiful, but be careful of pickpockets and use caution in the evening. The interior of the churches is sumptuous, such as the Jesuit church of the Society of Jesus of Quito (Iglesia de la Compañía de Jesús) decorated with gold leaf ornaments, magnificent gilded ceilings, beautiful paintings and the gold-plated main altar. It took 160 years to complete Ecuador's most decorated church. The Church of San Francesco with its beautiful square and the convent are also worth visiting, as is the cathedral which overlooks the beautiful Plaza de la Independencia or the Gothic basilica, without forgetting the museums and excellent restaurants.",5,2024-05-10,giovannaBorneo,"Lugano, Switzerland",947,dedicate some time to this visit better with an expert guide so as not to miss the details of this beautiful historic center founded on inca ruins among colonial buildings and well maintained squares we were amazed at how clean and well kept it was the small balconies full of pots of geraniums were beautiful but be careful of pickpockets and use caution in the evening the interior of the churches is sumptuous such as the jesuit church of the society of jesus of quito iglesia de la compañía de jesús decorated with gold leaf ornaments magnificent gilded ceilings beautiful paintings and the gold plated main altar it took years to complete ecuador s most decorated church the church of san francesco with its beautiful square and the convent are also worth visiting as is the cathedral which overlooks the beautiful plaza de la independencia or the gothic basilica without forgetting the museums and excellent restaurants,"['dedicate', 'better', 'expert', 'guide', 'miss', 'details', 'beautiful', 'historic', 'center', 'founded', 'inca', 'ruins', 'among', 'colonial', 'buildings', 'maintained', 'squares', 'amazed', 'clean', 'kept', 'small', 'balconies', 'full', 'pots', 'geraniums', 'beautiful', 'careful', 'pickpockets', 'use', 'caution', 'evening', 'interior', 'churches', 'sumptuous', 'jesuit', 'church', 'society', 'jesus', 'iglesia', 'compañía', 'jesús', 'decorated', 'gold', 'leaf', 'ornaments', 'magnificent', 'gilded', 'ceilings', 'beautiful', 'paintings', 'gold', 'plated', 'main', 'altar', 'years', 'complete', 'decorated', 'church', 'church', 'san', 'francesco', 'beautiful', 'square', 'convent', 'worth', 'visiting', 'cathedral', 'overlooks', 'beautiful', 'plaza', 'independencia', 'gothic', 'basilica', 'without', 'forgetting', 'museums', 'excellent', 'restaurants']",78,"['dedicate', 'better', 'expert', 'guide', 'miss', 'detail', 'beautiful', 'historic', 'center', 'founded', 'inca', 'ruin', 'among', 'colonial', 'building', 'maintained', 'square', 'amazed', 'clean', 'kept', 'small', 'balcony', 'full', 'pot', 'geranium', 'beautiful', 'careful', 'pickpocket', 'use', 'caution', 'evening', 'interior', 'church', 'sumptuous', 'jesuit', 'church', 'society', 'jesus', 'iglesia', 'compañía', 'jesús', 'decorated', 'gold', 'leaf', 'ornament', 'magnificent', 'gilded', 'ceiling', 'beautiful', 'painting', 'gold', 'plated', 'main', 'altar', 'year', 'complete', 'decorated', 'church', 'church', 'san', 'francesco', 'beautiful', 'square', 'convent', 'worth', 'visiting', 'cathedral', 'overlook', 'beautiful', 'plaza', 'independencia', 'gothic', 'basilica', 'without', 'forgetting', 'museum', 'excellent', 'restaurant']",dedicate better expert guide miss detail beautiful historic center founded inca ruin among colonial building maintained square amazed clean kept small balcony full pot geranium beautiful careful pickpocket use caution evening interior church sumptuous jesuit church society jesus iglesia compañía jesús decorated gold leaf ornament magnificent gilded ceiling beautiful painting gold plated main altar year complete decorated church church san francesco beautiful square convent worth visiting cathedral overlook beautiful plaza independencia gothic basilica without forgetting museum excellent restaurant,Positivo
Must see.,Must visit old town. Is crowded compared to all other areas of Quito but very walkable. Plenty of police but still be aware of people around you.,5,2024-04-04,Jaymaxx,,145,must visit old town is crowded compared to all other areas of quito but very walkable plenty of police but still be aware of people around you,"['must', 'crowded', 'compared', 'areas', 'walkable', 'plenty', 'police', 'still', 'aware', 'people', 'around']",11,"['must', 'crowded', 'compared', 'area', 'walkable', 'plenty', 'police', 'still', 'aware', 'people', 'around']",must crowded compared area walkable plenty police still aware people around,Positivo
Great on Sundays!,"On a Sunday, the old town is closed to cars and you can have your fill of all the stalls in the streets and of course eat great food. Nice atmosphere and lots of music make it an experience.",5,2024-03-26,Thorsten B,,190,on a sunday the old town is closed to cars and you can have your fill of all the stalls in the streets and of course eat great food nice atmosphere and lots of music make it an experience,"['sunday', 'closed', 'cars', 'fill', 'stalls', 'streets', 'course', 'eat', 'great', 'food', 'nice', 'atmosphere', 'lots', 'music', 'experience']",15,"['sunday', 'closed', 'car', 'fill', 'stall', 'street', 'course', 'eat', 'great', 'food', 'nice', 'atmosphere', 'lot', 'music', 'experience']",sunday closed car fill stall street course eat great food nice atmosphere lot music experience,Positivo
It is an experience that feedbacks our knowledge.,"It is very beautiful, you are filled with knowledge, an experience that you will like, recommended and if you want to take a tour with a professional tourist guide. Contact me 593 991350512.",5,2024-03-25,FUNNYTRAVEL,"Quito, Ecuador",190,it is very beautiful you are filled with knowledge an experience that you will like recommended and if you want to take a tour with a professional tourist guide contact me,"['beautiful', 'filled', 'knowledge', 'experience', 'recommended', 'want', 'take', 'tour', 'professional', 'tourist', 'guide', 'contact']",12,"['beautiful', 'filled', 'knowledge', 'experience', 'recommended', 'want', 'take', 'tour', 'professional', 'tourist', 'guide', 'contact']",beautiful filled knowledge experience recommended want take tour professional tourist guide contact,Positivo
"Walking through the center during the day is a ""must"" if you visit Quito","The center is beautiful with many historic buildings and charming hidden patios. During the day the streets are bustling with people and the center is a giant market where you can find everything. After 6pm the center becomes empty, it is not dangerous but without the hustle and bustle it loses much of its charm.",5,2024-03-14,Guiou,,314,the center is beautiful with many historic buildings and charming hidden patios during the day the streets are bustling with people and the center is a giant market where you can find everything after pm the center becomes empty it is not dangerous but without the hustle and bustle it loses much of its charm,"['center', 'beautiful', 'many', 'historic', 'buildings', 'charming', 'hidden', 'patios', 'streets', 'bustling', 'people', 'center', 'giant', 'market', 'find', 'everything', 'center', 'becomes', 'empty', 'dangerous', 'without', 'hustle', 'bustle', 'loses', 'charm']",25,"['center', 'beautiful', 'many', 'historic', 'building', 'charming', 'hidden', 'patio', 'street', 'bustling', 'people', 'center', 'giant', 'market', 'find', 'everything', 'center', 'becomes', 'empty', 'dangerous', 'without', 'hustle', 'bustle', 'loses', 'charm']",center beautiful many historic building charming hidden patio street bustling people center giant market find everything center becomes empty dangerous without hustle bustle loses charm,Positivo
Lots to look at...,"It's just nice to walk around here... You just have to be careful, but there's no reason to feel unsafe.There is a lot to look at if you just walk around quietly. Lots of beautiful buildings, cafes and restaurants. Some of the restaurants have a roof terrace, with an absolutely fantastic view of Quito.Remember good shoes, a hat and sunscreen!We had our own guide, from the Andean travel company. Which is highly recommended.",4,2024-03-12,Jesper C,"Hoersholm, Denmark",426,it s just nice to walk around here you just have to be careful but there s no reason to feel unsafe there is a lot to look at if you just walk around quietly lots of beautiful buildings cafes and restaurants some of the restaurants have a roof terrace with an absolutely fantastic view of quito remember good shoes a hat and sunscreen we had our own guide from the andean travel company which is highly recommended,"['nice', 'walk', 'around', 'careful', 'reason', 'feel', 'unsafe', 'lot', 'look', 'walk', 'around', 'quietly', 'lots', 'beautiful', 'buildings', 'cafes', 'restaurants', 'restaurants', 'roof', 'terrace', 'absolutely', 'fantastic', 'view', 'remember', 'good', 'shoes', 'hat', 'sunscreen', 'guide', 'andean', 'travel', 'company', 'highly', 'recommended']",34,"['nice', 'walk', 'around', 'careful', 'reason', 'feel', 'unsafe', 'lot', 'look', 'walk', 'around', 'quietly', 'lot', 'beautiful', 'building', 'cafe', 'restaurant', 'restaurant', 'roof', 'terrace', 'absolutely', 'fantastic', 'view', 'remember', 'good', 'shoe', 'hat', 'sunscreen', 'guide', 'andean', 'travel', 'company', 'highly', 'recommended']",nice walk around careful reason feel unsafe lot look walk around quietly lot beautiful building cafe restaurant restaurant roof terrace absolutely fantastic view remember good shoe hat sunscreen guide andean travel company highly recommended,Positivo
Lovely Square,"Sitting in the square by the San Francisco Church was a lovely way to spend an afternoon. Lots of street food on offer , the devil preaching ! Wedding parties and children having a great time. People watching with a coffee and there was a fantastic atmosphere",5,2024-03-11,Larraine K,,259,sitting in the square by the san francisco church was a lovely way to spend an afternoon lots of street food on offer the devil preaching wedding parties and children having a great time people watching with a coffee and there was a fantastic atmosphere,"['sitting', 'square', 'san', 'francisco', 'church', 'lovely', 'way', 'spend', 'afternoon', 'lots', 'street', 'food', 'offer', 'devil', 'preaching', 'wedding', 'parties', 'children', 'great', 'people', 'watching', 'coffee', 'fantastic', 'atmosphere']",24,"['sitting', 'square', 'san', 'francisco', 'church', 'lovely', 'way', 'spend', 'afternoon', 'lot', 'street', 'food', 'offer', 'devil', 'preaching', 'wedding', 'party', 'child', 'great', 'people', 'watching', 'coffee', 'fantastic', 'atmosphere']",sitting square san francisco church lovely way spend afternoon lot street food offer devil preaching wedding party child great people watching coffee fantastic atmosphere,Positivo
Fascinating City,We really enjoyed our stay in Quito.  The Old City is fascinating and there are so many good restaurants.  We had a private guide and recommend doing a guided tour. The churches are spectacular and and not to be missed.  Spend time ambling the streets to get a good feel for the City.,5,2024-03-10,Liz W,,284,we really enjoyed our stay in quito the old city is fascinating and there are so many good restaurants we had a private guide and recommend doing a guided tour the churches are spectacular and and not to be missed spend time ambling the streets to get a good feel for the city,"['enjoyed', 'stay', 'city', 'fascinating', 'many', 'good', 'restaurants', 'private', 'guide', 'recommend', 'guided', 'tour', 'churches', 'spectacular', 'missed', 'spend', 'ambling', 'streets', 'good', 'feel', 'city']",21,"['enjoyed', 'stay', 'city', 'fascinating', 'many', 'good', 'restaurant', 'private', 'guide', 'recommend', 'guided', 'tour', 'church', 'spectacular', 'missed', 'spend', 'ambling', 'street', 'good', 'feel', 'city']",enjoyed stay city fascinating many good restaurant private guide recommend guided tour church spectacular missed spend ambling street good feel city,Positivo
"Quito, Carita de Dios.","Quito Old Town is the best Spanish Old Town in the Americas!It has overwhelming architecture, its churches are amazing.It has a natural outlook (El Panecillo hill) from where you can observe the city and its majestic Andes!Every time I go to Quito I continue to fall in love with this unique city surrounded by green beautiful mountains and snow capped peaks!",5,2024-03-02,Avid Travel Woman,"Orlando, Florida",359,quito old town is the best spanish old town in the americas it has overwhelming architecture its churches are amazing it has a natural outlook el panecillo hill from where you can observe the city and its majestic andes every time i go to quito i continue to fall in love with this unique city surrounded by green beautiful mountains and snow capped peaks,"['best', 'spanish', 'americas', 'overwhelming', 'architecture', 'churches', 'amazing', 'natural', 'outlook', 'panecillo', 'hill', 'observe', 'city', 'majestic', 'andes', 'every', 'continue', 'fall', 'love', 'unique', 'city', 'surrounded', 'green', 'beautiful', 'mountains', 'snow', 'capped', 'peaks']",28,"['best', 'spanish', 'america', 'overwhelming', 'architecture', 'church', 'amazing', 'natural', 'outlook', 'panecillo', 'hill', 'observe', 'city', 'majestic', 'andes', 'every', 'continue', 'fall', 'love', 'unique', 'city', 'surrounded', 'green', 'beautiful', 'mountain', 'snow', 'capped', 'peak']",best spanish america overwhelming architecture church amazing natural outlook panecillo hill observe city majestic andes every continue fall love unique city surrounded green beautiful mountain snow capped peak,Positivo
Such a special place,"I am not surprised that Quito Old Town is in the list of the Unesco Heritage Sites. The colonial Spanish feel is all over the place with narrow streets and vast squares and the miriads of churches and convents. The walks up and down the three Main Streets (Quayaqil, Venezuela and Garcia Moreno) are full of little shops with interesting local artefacts and little restaurants and in the afternoon full of buskers and little stands of local craft and the music is coming from all over the places!Quito do not have the grandeur of other Colonial Spanish cities (like Havana or Old Panama) but I love the cosyness of the low raise buildings and the pastel colour of the houses.Certainly a wonderful discovery.",5,2024-02-15,Travelaround59,,707,i am not surprised that quito old town is in the list of the unesco heritage sites the colonial spanish feel is all over the place with narrow streets and vast squares and the miriads of churches and convents the walks up and down the three main streets quayaqil venezuela and garcia moreno are full of little shops with interesting local artefacts and little restaurants and in the afternoon full of buskers and little stands of local craft and the music is coming from all over the places quito do not have the grandeur of other colonial spanish cities like havana or old panama but i love the cosyness of the low raise buildings and the pastel colour of the houses certainly a wonderful discovery,"['surprised', 'list', 'unesco', 'heritage', 'sites', 'colonial', 'spanish', 'feel', 'narrow', 'streets', 'vast', 'squares', 'miriads', 'churches', 'convents', 'walks', 'three', 'main', 'streets', 'quayaqil', 'venezuela', 'garcia', 'moreno', 'full', 'little', 'shops', 'interesting', 'local', 'artefacts', 'little', 'restaurants', 'afternoon', 'full', 'buskers', 'little', 'stands', 'local', 'craft', 'music', 'coming', 'places', 'grandeur', 'colonial', 'spanish', 'cities', 'havana', 'panama', 'love', 'cosyness', 'low', 'raise', 'buildings', 'pastel', 'colour', 'houses', 'certainly', 'wonderful', 'discovery']",58,"['surprised', 'list', 'unesco', 'heritage', 'site', 'colonial', 'spanish', 'feel', 'narrow', 'street', 'vast', 'square', 'miriads', 'church', 'convent', 'walk', 'three', 'main', 'street', 'quayaqil', 'venezuela', 'garcia', 'moreno', 'full', 'little', 'shop', 'interesting', 'local', 'artefact', 'little', 'restaurant', 'afternoon', 'full', 'busker', 'little', 'stand', 'local', 'craft', 'music', 'coming', 'place', 'grandeur', 'colonial', 'spanish', 'city', 'havana', 'panama', 'love', 'cosyness', 'low', 'raise', 'building', 'pastel', 'colour', 'house', 'certainly', 'wonderful', 'discovery']",surprised list unesco heritage site colonial spanish feel narrow street vast square miriads church convent walk three main street quayaqil venezuela garcia moreno full little shop interesting local artefact little restaurant afternoon full busker little stand local craft music coming place grandeur colonial spanish city havana panama love cosyness low raise building pastel colour house certainly wonderful discovery,Positivo
Well worth a walk around,"Well worth a walk around, lovely old buildings, hole in the wall style shops, fabulous architecture. Do this walk through on te way to the square after the main church area. Particularly nice on a Sunday!",5,2024-01-28,Anne9PerthWa,"Perth, Australia",204,well worth a walk around lovely old buildings hole in the wall style shops fabulous architecture do this walk through on te way to the square after the main church area particularly nice on a sunday,"['worth', 'walk', 'around', 'lovely', 'buildings', 'hole', 'wall', 'style', 'shops', 'fabulous', 'architecture', 'walk', 'way', 'square', 'main', 'church', 'area', 'particularly', 'nice', 'sunday']",20,"['worth', 'walk', 'around', 'lovely', 'building', 'hole', 'wall', 'style', 'shop', 'fabulous', 'architecture', 'walk', 'way', 'square', 'main', 'church', 'area', 'particularly', 'nice', 'sunday']",worth walk around lovely building hole wall style shop fabulous architecture walk way square main church area particularly nice sunday,Positivo
Cultural meld,"Old Quito combines a lot of the style of both Baroque Spain and South America.  There are several plazas and wide pedestrian roads and every corner has an ornate church or palace on it.  Quito and Ecuador are not wealthy, but downtown Quito was vibrant and people were friendly, and although it was lively, it wasn't too crowded.  I got some sense that Quito could be dangerous, or at least that theft was a problem.  But I did not feel any sense of menace while I was in Old Quito (or other downtown areas).  There's a heavy police presence and the crowd seemed to be mostly tourists, school groups and downtown workers.",5,2023-12-25,Brendan S,"Arlington, Virginia",621,old quito combines a lot of the style of both baroque spain and south america there are several plazas and wide pedestrian roads and every corner has an ornate church or palace on it quito and ecuador are not wealthy but downtown quito was vibrant and people were friendly and although it was lively it wasn t too crowded i got some sense that quito could be dangerous or at least that theft was a problem but i did not feel any sense of menace while i was in old quito or other downtown areas there s a heavy police presence and the crowd seemed to be mostly tourists school groups and downtown workers,"['combines', 'lot', 'style', 'baroque', 'spain', 'south', 'america', 'several', 'plazas', 'wide', 'pedestrian', 'roads', 'every', 'corner', 'ornate', 'church', 'palace', 'wealthy', 'downtown', 'vibrant', 'people', 'friendly', 'although', 'lively', 'crowded', 'sense', 'dangerous', 'least', 'theft', 'problem', 'feel', 'sense', 'menace', 'downtown', 'areas', 'heavy', 'police', 'presence', 'crowd', 'seemed', 'mostly', 'tourists', 'school', 'groups', 'downtown', 'workers']",46,"['combine', 'lot', 'style', 'baroque', 'spain', 'south', 'america', 'several', 'plaza', 'wide', 'pedestrian', 'road', 'every', 'corner', 'ornate', 'church', 'palace', 'wealthy', 'downtown', 'vibrant', 'people', 'friendly', 'although', 'lively', 'crowded', 'sense', 'dangerous', 'least', 'theft', 'problem', 'feel', 'sense', 'menace', 'downtown', 'area', 'heavy', 'police', 'presence', 'crowd', 'seemed', 'mostly', 'tourist', 'school', 'group', 'downtown', 'worker']",combine lot style baroque spain south america several plaza wide pedestrian road every corner ornate church palace wealthy downtown vibrant people friendly although lively crowded sense dangerous least theft problem feel sense menace downtown area heavy police presence crowd seemed mostly tourist school group downtown worker,Positivo
"Music, dances, beautiful outfits in the Historic Center!!","Living the holidays and the expressive Viva Quito:)!!Touring this beautiful center in this important and special time!!Traditional music, dances, beautiful colorful costumes!!!Very happy atmosphere.",5,2023-12-12,Evelyn D,,198,living the holidays and the expressive viva quito touring this beautiful center in this important and special time traditional music dances beautiful colorful costumes very happy atmosphere,"['living', 'holidays', 'expressive', 'viva', 'touring', 'beautiful', 'center', 'important', 'special', 'traditional', 'music', 'dances', 'beautiful', 'colorful', 'costumes', 'happy', 'atmosphere']",17,"['living', 'holiday', 'expressive', 'viva', 'touring', 'beautiful', 'center', 'important', 'special', 'traditional', 'music', 'dance', 'beautiful', 'colorful', 'costume', 'happy', 'atmosphere']",living holiday expressive viva touring beautiful center important special traditional music dance beautiful colorful costume happy atmosphere,Positivo
"Worth a visit, it is the Old Town After all","You're in Quito and as with many cities the Old Town is a nice place to take in some history and enjoy the architecture and Quito is no different.  I was there during the daytime and with a guide who told me to flip my backpack to the front and carry it on my chest as well as moving and securing anything (wallet, etc.) in my pockets to my backpack where it was tightly under my control.  She is a local and a native so followed the advice and had no problems.  I felt safe in general but do appreciate that she was looking out for me.",4,2023-12-05,robert-not-home,"Hopkinton, Massachusetts",536,you re in quito and as with many cities the old town is a nice place to take in some history and enjoy the architecture and quito is no different i was there during the daytime and with a guide who told me to flip my backpack to the front and carry it on my chest as well as moving and securing anything wallet etc in my pockets to my backpack where it was tightly under my control she is a local and a native so followed the advice and had no problems i felt safe in general but do appreciate that she was looking out for me,"['many', 'cities', 'nice', 'take', 'history', 'enjoy', 'architecture', 'different', 'daytime', 'guide', 'told', 'flip', 'backpack', 'front', 'carry', 'chest', 'moving', 'securing', 'anything', 'wallet', 'etc', 'pockets', 'backpack', 'tightly', 'control', 'local', 'native', 'followed', 'advice', 'problems', 'felt', 'safe', 'general', 'appreciate', 'looking']",35,"['many', 'city', 'nice', 'take', 'history', 'enjoy', 'architecture', 'different', 'daytime', 'guide', 'told', 'flip', 'backpack', 'front', 'carry', 'chest', 'moving', 'securing', 'anything', 'wallet', 'etc', 'pocket', 'backpack', 'tightly', 'control', 'local', 'native', 'followed', 'advice', 'problem', 'felt', 'safe', 'general', 'appreciate', 'looking']",many city nice take history enjoy architecture different daytime guide told flip backpack front carry chest moving securing anything wallet etc pocket backpack tightly control local native followed advice problem felt safe general appreciate looking,Positivo
Nice place,Our experience in old quito was nice even though was a bit hot.The church was the best part of the visit and worthwhile to see.,4,2023-10-12,MAG,,127,our experience in old quito was nice even though was a bit hot the church was the best part of the visit and worthwhile to see,"['experience', 'nice', 'though', 'bit', 'hot', 'church', 'best', 'part', 'worthwhile']",9,"['experience', 'nice', 'though', 'bit', 'hot', 'church', 'best', 'part', 'worthwhile']",experience nice though bit hot church best part worthwhile,Positivo
Beatiful and Historic with caveats,"Quito's Centro Historico is considered one of the best preserved and largest colonial centers in the Americas, filled with buildings that are three hundred plus years old. Ornate churches seem to dot every corner.  So many of the buildings are simply works of art. Plazas located in the center are lively filled with locals, vendors, and tourists, at least during the day. There are a number of museums one can visit, along with numerous restaurants and stores.One caveat is generally speaking at night the old town is largely deserted and feels unsafe/seedy (other than the Plaza Independencia/presidential place area and La Ronda on weekends).  Another is even during day one must be somewhat careful, we were told by many people to mind our wallets, don't keep cellphones out and keep our wits in general. There is a sizeable homeless presence with some coming relatively close begging for money, however there is a large police presence during the day, overall it felt safe. In the end nothing happened to us and we enjoyed our visit.The old town is among the highlights of Quito, and should be visited, travel in groups if you can, don't wander alone at night, just be mindful of your surroundings and you should be fine.",5,2023-10-10,SeñorElGreco,,1226,quito s centro historico is considered one of the best preserved and largest colonial centers in the americas filled with buildings that are three hundred plus years old ornate churches seem to dot every corner so many of the buildings are simply works of art plazas located in the center are lively filled with locals vendors and tourists at least during the day there are a number of museums one can visit along with numerous restaurants and stores one caveat is generally speaking at night the old town is largely deserted and feels unsafe seedy other than the plaza independencia presidential place area and la ronda on weekends another is even during day one must be somewhat careful we were told by many people to mind our wallets don t keep cellphones out and keep our wits in general there is a sizeable homeless presence with some coming relatively close begging for money however there is a large police presence during the day overall it felt safe in the end nothing happened to us and we enjoyed our visit the old town is among the highlights of quito and should be visited travel in groups if you can don t wander alone at night just be mindful of your surroundings and you should be fine,"['centro', 'historico', 'considered', 'best', 'preserved', 'largest', 'colonial', 'centers', 'americas', 'filled', 'buildings', 'three', 'hundred', 'plus', 'years', 'ornate', 'churches', 'seem', 'dot', 'every', 'corner', 'many', 'buildings', 'simply', 'works', 'art', 'plazas', 'located', 'center', 'lively', 'filled', 'locals', 'vendors', 'tourists', 'least', 'number', 'museums', 'along', 'numerous', 'restaurants', 'stores', 'caveat', 'generally', 'speaking', 'night', 'largely', 'deserted', 'feels', 'unsafe', 'seedy', 'plaza', 'independencia', 'presidential', 'area', 'ronda', 'weekends', 'another', 'must', 'somewhat', 'careful', 'told', 'many', 'people', 'mind', 'wallets', 'keep', 'cellphones', 'keep', 'wits', 'general', 'sizeable', 'homeless', 'presence', 'coming', 'relatively', 'close', 'begging', 'money', 'however', 'large', 'police', 'presence', 'overall', 'felt', 'safe', 'end', 'nothing', 'happened', 'enjoyed', 'among', 'highlights', 'visited', 'travel', 'groups', 'wander', 'alone', 'night', 'mindful', 'surroundings', 'fine']",100,"['centro', 'historico', 'considered', 'best', 'preserved', 'largest', 'colonial', 'center', 'america', 'filled', 'building', 'three', 'hundred', 'plus', 'year', 'ornate', 'church', 'seem', 'dot', 'every', 'corner', 'many', 'building', 'simply', 'work', 'art', 'plaza', 'located', 'center', 'lively', 'filled', 'local', 'vendor', 'tourist', 'least', 'number', 'museum', 'along', 'numerous', 'restaurant', 'store', 'caveat', 'generally', 'speaking', 'night', 'largely', 'deserted', 'feel', 'unsafe', 'seedy', 'plaza', 'independencia', 'presidential', 'area', 'ronda', 'weekend', 'another', 'must', 'somewhat', 'careful', 'told', 'many', 'people', 'mind', 'wallet', 'keep', 'cellphone', 'keep', 'wit', 'general', 'sizeable', 'homeless', 'presence', 'coming', 'relatively', 'close', 'begging', 'money', 'however', 'large', 'police', 'presence', 'overall', 'felt', 'safe', 'end', 'nothing', 'happened', 'enjoyed', 'among', 'highlight', 'visited', 'travel', 'group', 'wander', 'alone', 'night', 'mindful', 'surroundings', 'fine']",centro historico considered best preserved largest colonial center america filled building three hundred plus year ornate church seem dot every corner many building simply work art plaza located center lively filled local vendor tourist least number museum along numerous restaurant store caveat generally speaking night largely deserted feel unsafe seedy plaza independencia presidential area ronda weekend another must somewhat careful told many people mind wallet keep cellphone keep wit general sizeable homeless presence coming relatively close begging money however large police presence overall felt safe end nothing happened enjoyed among highlight visited travel group wander alone night mindful surroundings fine,Positivo
A walk into history,"The old city is amazingly preserved. Loved walking the streets, and seeing the churches, cathedrals, and courtyards. A must visit on your trip to Ecuador.",5,2023-06-27,Gautam R,"Laurel, Maryland",154,the old city is amazingly preserved loved walking the streets and seeing the churches cathedrals and courtyards a must visit on your trip to ecuador,"['city', 'amazingly', 'preserved', 'loved', 'walking', 'streets', 'seeing', 'churches', 'cathedrals', 'courtyards', 'must', 'trip']",12,"['city', 'amazingly', 'preserved', 'loved', 'walking', 'street', 'seeing', 'church', 'cathedral', 'courtyard', 'must', 'trip']",city amazingly preserved loved walking street seeing church cathedral courtyard must trip,Positivo
